UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2023-02-03 00:00:00,2024-07-17 00:00:00,3.1,3.1322498881392296,272.05448041877435,263.6859926239404,370.6524766340261,0.0,2035.94776,1114.76299,727.23205
2023-02-03 01:00:00,2024-07-17 00:00:00,3.1,3.873348807874104,270.2597658229638,262.9083922035862,1.6525400352834782e-05,0.0,2003.39412,1106.83346,704.18621
2023-02-03 02:00:00,2024-07-17 00:00:00,3.1,3.873348807874104,270.2597658229638,262.9083922035862,1.6525400352834782e-05,0.0,1954.41158,1108.97119,707.31483
2023-02-03 03:00:00,2024-07-17 00:00:00,3.1,3.873348807874104,270.2597658229638,262.9083922035862,1.6525400352834782e-05,0.0,1925.47499,1099.76452,692.40756
2023-02-03 04:00:00,2024-07-17 00:00:00,3.1,4.24405502000185,270.5900562204988,264.1254794240264,0.0,0.0,1897.70926,1114.35351,646.97182
2023-02-03 05:00:00,2024-07-17 00:00:00,3.1,4.24405502000185,270.5900562204988,264.1254794240264,0.0,0.0,1892.61244,1109.33951,577.48818
2023-02-03 06:00:00,2024-07-17 00:00:00,3.1,4.24405502000185,270.5900562204988,264.1254794240264,0.0,0.0,1880.38516,1100.04629,531.45465
2023-02-03 07:00:00,2024-07-17 00:00:00,3.1,4.662988054771321,271.2069287613318,265.52921274633786,0.0,0.0,1902.83486,1104.78769,499.47957
2023-02-03 08:00:00,2024-07-17 00:00:00,3.1,4.662988054771321,271.2069287613318,265.52921274633786,0.0,0.0,1930.12514,1073.4747,449.16096
2023-02-03 09:00:00,2024-07-17 00:00:00,3.1,4.662988054771321,271.2069287613318,265.52921274633786,0.0,0.0,1930.04914,1042.60624,408.06574
2023-02-03 10:00:00,2024-07-17 00:00:00,3.1,5.056577937305962,271.9749185554347,266.84171948597736,0.0,0.0,1908.23568,1031.8616,364.06109
2023-02-03 11:00:00,2024-07-17 00:00:00,3.1,5.056577937305962,271.9749185554347,266.84171948597736,0.0,0.0,1934.98444,1043.25186,334.21398
2023-02-03 12:00:00,2024-07-17 00:00:00,3.1,5.056577937305962,271.9749185554347,266.84171948597736,0.0,0.0,1923.5349,1054.87391,318.7976
2023-02-03 13:00:00,2024-07-17 00:00:00,3.1,5.979240870873534,274.8373486757256,268.57779284773346,49.13697034037517,0.0,1909.16398,1020.2593,315.59569
2023-02-03 14:00:00,2024-07-17 00:00:00,3.1,5.979240870873534,274.8373486757256,268.57779284773346,49.13697034037517,0.0,1927.60927,1026.94474,302.26069
2023-02-03 15:00:00,2024-07-17 00:00:00,3.1,5.979240870873534,274.8373486757256,268.57779284773346,49.13697034037517,0.0,1953.55971,1037.00119,247.12471
2023-02-03 16:00:00,2024-07-17 00:00:00,3.1,7.236713598905229,280.1908284321878,271.36177622239825,197.81855001192923,0.0,1967.83145,1050.45462,210.86786
2023-02-03 17:00:00,2024-07-17 00:00:00,3.1,7.236713598905229,280.1908284321878,271.36177622239825,197.81855001192923,0.0,2010.34999,1027.43702,199.05617
2023-02-03 18:00:00,2024-07-17 00:00:00,3.1,7.236713598905229,280.1908284321878,271.36177622239825,197.81855001192923,0.0,2019.31101,1032.48112,221.05358
2023-02-03 19:00:00,2024-07-17 00:00:00,3.1,7.095730174365194,282.2083581491716,273.1426890029449,414.9199190530817,0.0,2015.1769,1046.0939,230.15561
