UTC time,coal,nat_gas,wind
2023-10-06 00:00:00,1837.0,930.0,307.0
2023-10-06 01:00:00,1833.0,997.0,343.0
2023-10-06 02:00:00,1719.0,970.0,406.0
2023-10-06 03:00:00,1707.0,861.0,486.0
2023-10-06 04:00:00,1726.0,636.0,496.0
2023-10-06 05:00:00,1714.0,650.0,285.0
2023-10-06 06:00:00,1550.0,670.0,163.0
2023-10-06 07:00:00,1564.0,595.0,108.0
2023-10-06 08:00:00,1562.0,604.0,92.0
2023-10-06 09:00:00,1561.0,637.0,96.0
2023-10-06 10:00:00,1517.0,624.0,189.0
2023-10-06 11:00:00,1406.0,672.0,275.0
2023-10-06 12:00:00,1404.0,642.0,383.0
2023-10-06 13:00:00,1378.0,581.0,434.0
2023-10-06 14:00:00,1427.0,625.0,449.0
2023-10-06 15:00:00,1481.0,621.0,408.0
2023-10-06 16:00:00,1472.0,589.0,408.0
2023-10-06 17:00:00,1277.0,599.0,531.0
2023-10-06 18:00:00,1198.0,639.0,579.0
2023-10-06 19:00:00,1224.0,674.0,569.0
2023-10-06 20:00:00,1334.0,540.0,474.0
2023-10-06 21:00:00,1350.0,528.0,516.0
2023-10-06 22:00:00,1349.0,596.0,473.0
2023-10-06 23:00:00,1350.0,639.0,428.0
