UTC time,coal,nat_gas,wind
2023-02-14 00:00:00,1010.0,829.0,381.0
2023-02-14 01:00:00,1170.0,832.0,506.0
2023-02-14 02:00:00,1125.0,840.0,598.0
2023-02-14 03:00:00,1115.0,928.0,631.0
2023-02-14 04:00:00,1116.0,918.0,628.0
2023-02-14 05:00:00,1116.0,689.0,603.0
2023-02-14 06:00:00,1035.0,605.0,564.0
2023-02-14 07:00:00,918.0,627.0,535.0
2023-02-14 08:00:00,975.0,698.0,463.0
2023-02-14 09:00:00,1116.0,688.0,425.0
2023-02-14 10:00:00,1159.0,600.0,503.0
2023-02-14 11:00:00,1157.0,570.0,549.0
2023-02-14 12:00:00,1311.0,682.0,562.0
2023-02-14 13:00:00,1598.0,707.0,491.0
2023-02-14 14:00:00,1662.0,654.0,481.0
2023-02-14 15:00:00,1574.0,694.0,581.0
2023-02-14 16:00:00,1568.0,708.0,575.0
2023-02-14 17:00:00,1520.0,680.0,573.0
2023-02-14 18:00:00,1529.0,524.0,616.0
2023-02-14 19:00:00,1624.0,437.0,603.0
2023-02-14 20:00:00,1656.0,438.0,544.0
2023-02-14 21:00:00,1639.0,438.0,463.0
2023-02-14 22:00:00,1617.0,439.0,559.0
2023-02-14 23:00:00,1713.0,440.0,562.0
