UTC time,nat_gas,hydro,solar,wind
2023-02-16 00:00:00,467.0,112.0,115.0,39.0
2023-02-16 01:00:00,594.0,377.0,94.0,30.0
2023-02-16 02:00:00,646.0,724.0,85.0,26.0
2023-02-16 03:00:00,671.0,748.0,98.0,33.0
2023-02-16 04:00:00,670.0,707.0,84.0,9.0
2023-02-16 05:00:00,667.0,599.0,78.0,24.0
2023-02-16 06:00:00,666.0,628.0,21.0,61.0
2023-02-16 07:00:00,662.0,590.0,20.0,80.0
2023-02-16 08:00:00,577.0,416.0,19.0,107.0
2023-02-16 09:00:00,450.0,334.0,19.0,117.0
2023-02-16 10:00:00,451.0,321.0,19.0,107.0
2023-02-16 11:00:00,450.0,322.0,19.0,77.0
2023-02-16 12:00:00,456.0,340.0,19.0,60.0
2023-02-16 13:00:00,455.0,374.0,5.0,108.0
2023-02-16 14:00:00,477.0,640.0,0.0,133.0
2023-02-16 15:00:00,463.0,561.0,9.0,107.0
2023-02-16 16:00:00,422.0,436.0,82.0,62.0
2023-02-16 17:00:00,346.0,179.0,199.0,99.0
2023-02-16 18:00:00,343.0,133.0,223.0,58.0
2023-02-16 19:00:00,340.0,110.0,212.0,56.0
2023-02-16 20:00:00,312.0,99.0,200.0,83.0
2023-02-16 21:00:00,291.0,127.0,119.0,106.0
2023-02-16 22:00:00,286.0,121.0,111.0,130.0
2023-02-16 23:00:00,297.0,110.0,112.0,108.0
