UTC time,nat_gas,hydro,solar,wind
2023-07-25 00:00:00,858.0,862.0,125.0,157.0
2023-07-25 01:00:00,841.0,1004.0,125.0,130.0
2023-07-25 02:00:00,872.0,1165.0,94.0,143.0
2023-07-25 03:00:00,877.0,1108.0,90.0,169.0
2023-07-25 04:00:00,842.0,1143.0,90.0,165.0
2023-07-25 05:00:00,854.0,848.0,39.0,127.0
2023-07-25 06:00:00,857.0,871.0,3.0,88.0
2023-07-25 07:00:00,784.0,658.0,0.0,89.0
2023-07-25 08:00:00,567.0,638.0,0.0,76.0
2023-07-25 09:00:00,344.0,878.0,0.0,76.0
2023-07-25 10:00:00,259.0,344.0,0.0,73.0
2023-07-25 11:00:00,251.0,182.0,0.0,55.0
2023-07-25 12:00:00,246.0,169.0,0.0,66.0
2023-07-25 13:00:00,257.0,325.0,0.0,90.0
2023-07-25 14:00:00,301.0,252.0,44.0,78.0
2023-07-25 15:00:00,269.0,80.0,57.0,40.0
2023-07-25 16:00:00,289.0,113.0,124.0,41.0
2023-07-25 17:00:00,419.0,189.0,103.0,19.0
2023-07-25 18:00:00,513.0,206.0,656.0,18.0
2023-07-25 19:00:00,644.0,345.0,119.0,25.0
2023-07-25 20:00:00,697.0,454.0,200.0,52.0
2023-07-25 21:00:00,840.0,553.0,177.0,84.0
2023-07-25 22:00:00,887.0,557.0,150.0,68.0
2023-07-25 23:00:00,904.0,680.0,117.0,65.0
