UTC time,nat_gas,hydro,solar,wind
2023-12-05 00:00:00,613.0,212.0,46.0,43.0
2023-12-05 01:00:00,699.0,279.0,89.0,42.0
2023-12-05 02:00:00,739.0,493.0,90.0,61.0
2023-12-05 03:00:00,745.0,579.0,16.0,63.0
2023-12-05 04:00:00,724.0,436.0,17.0,46.0
2023-12-05 05:00:00,708.0,504.0,1.0,52.0
2023-12-05 06:00:00,688.0,263.0,68.0,40.0
2023-12-05 07:00:00,683.0,176.0,2.0,40.0
2023-12-05 08:00:00,635.0,143.0,0.0,54.0
2023-12-05 09:00:00,647.0,179.0,0.0,71.0
2023-12-05 10:00:00,595.0,177.0,0.0,92.0
2023-12-05 11:00:00,557.0,178.0,0.0,92.0
2023-12-05 12:00:00,578.0,185.0,0.0,106.0
2023-12-05 13:00:00,675.0,214.0,0.0,123.0
2023-12-05 14:00:00,730.0,197.0,0.0,111.0
2023-12-05 15:00:00,721.0,434.0,3.0,86.0
2023-12-05 16:00:00,603.0,96.0,65.0,80.0
2023-12-05 17:00:00,472.0,99.0,136.0,95.0
2023-12-05 18:00:00,482.0,95.0,61.0,112.0
2023-12-05 19:00:00,535.0,78.0,65.0,140.0
2023-12-05 20:00:00,574.0,79.0,68.0,151.0
2023-12-05 21:00:00,572.0,79.0,60.0,151.0
2023-12-05 22:00:00,557.0,79.0,62.0,116.0
2023-12-05 23:00:00,486.0,96.0,61.0,91.0
