UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-12-03 00:00:00,2024-07-17 00:00:00,3.1,4.082167073736888,281.0054833742362,273.31668604950875,290.71252746675856,0.7698318209180898,548.18508,759.21293,10.86464,20.72006
2023-12-03 01:00:00,2024-07-17 00:00:00,3.1,3.5085168391822577,279.7412216104357,273.6627589687245,2.839175938165003,0.2738484520292667,638.57787,703.97865,14.3399,20.64473
2023-12-03 02:00:00,2024-07-17 00:00:00,3.1,3.5085168391822577,279.7412216104357,273.6627589687245,2.839175938165003,0.2738484520292667,545.18567,536.00506,16.92899,20.80577
2023-12-03 03:00:00,2024-07-17 00:00:00,3.1,3.5085168391822577,279.7412216104357,273.6627589687245,2.839175938165003,0.2738484520292667,545.77574,605.5137,13.0525,20.14125
2023-12-03 04:00:00,2024-07-17 00:00:00,3.1,3.47648818448533,279.2935896690886,273.5756137951365,1.4195226130042768,0.4508580175526138,600.95685,563.09271,9.88684,20.00589
2023-12-03 05:00:00,2024-07-17 00:00:00,3.1,3.47648818448533,279.2935896690886,273.5756137951365,1.4195226130042768,0.4508580175526138,592.36518,607.97942,13.9971,19.30965
2023-12-03 06:00:00,2024-07-17 00:00:00,3.1,3.47648818448533,279.2935896690886,273.5756137951365,1.4195226130042768,0.4508580175526138,513.22403,644.08996,17.49078,20.38306
2023-12-03 07:00:00,2024-07-17 00:00:00,3.1,3.424374913164577,279.0452107331116,273.45465165343137,0.0,0.0767614307107442,544.86266,426.2544,17.27242,20.98069
2023-12-03 08:00:00,2024-07-17 00:00:00,3.1,3.424374913164577,279.0452107331116,273.45465165343137,0.0,0.0767614307107442,523.39043,454.02435,15.45873,20.05101
2023-12-03 09:00:00,2024-07-17 00:00:00,3.1,3.424374913164577,279.0452107331116,273.45465165343137,0.0,0.0767614307107442,489.1451,814.69304,15.78847,19.25393
2023-12-03 10:00:00,2024-07-17 00:00:00,3.1,3.431750167156359,278.6958420856189,273.31502139943666,0.0,0.1306918596313223,509.14007,404.9786,11.85109,18.92115
2023-12-03 11:00:00,2024-07-17 00:00:00,3.1,3.431750167156359,278.6958420856189,273.31502139943666,0.0,0.1306918596313223,534.75257,360.75907,9.67658,19.92096
2023-12-03 12:00:00,2024-07-17 00:00:00,3.1,3.431750167156359,278.6958420856189,273.31502139943666,0.0,0.1306918596313223,455.69256,326.57604,12.66191,19.78016
2023-12-03 13:00:00,2024-07-17 00:00:00,3.1,3.29987242083772,279.02589750005325,273.3692652397842,4.245180193301507,0.055623520341465,469.35713,367.53766,11.68994,19.99176
2023-12-03 14:00:00,2024-07-17 00:00:00,3.1,3.29987242083772,279.02589750005325,273.3692652397842,4.245180193301507,0.055623520341465,453.74536,409.08859,14.11847,20.53991
2023-12-03 15:00:00,2024-07-17 00:00:00,3.1,3.29987242083772,279.02589750005325,273.3692652397842,4.245180193301507,0.055623520341465,450.87557,489.10565,9.85539,22.10318
2023-12-03 16:00:00,2024-07-17 00:00:00,3.1,3.1772872104669467,282.94641120430384,274.1270540578043,111.35190084602375,0.1003197992009746,474.88754,464.05795,9.71037,22.85215
2023-12-03 17:00:00,2024-07-17 00:00:00,3.1,3.1772872104669467,282.94641120430384,274.1270540578043,111.35190084602375,0.1003197992009746,475.5826,587.51446,7.66607,22.41256
2023-12-03 18:00:00,2024-07-17 00:00:00,3.1,3.1772872104669467,282.94641120430384,274.1270540578043,111.35190084602375,0.1003197992009746,486.98708,625.5908,5.87157,22.97008
2023-12-03 19:00:00,2024-07-17 00:00:00,3.1,3.48285177824975,284.6486281376373,274.4465690432259,427.44665392940976,0.0293532571307712,555.36689,602.85797,7.82791,23.74044
2023-12-03 20:00:00,2024-07-17 00:00:00,3.1,3.48285177824975,284.6486281376373,274.4465690432259,427.44665392940976,0.0293532571307712,548.41768,727.57865,6.12963,25.45026
2023-12-03 21:00:00,2024-07-17 00:00:00,3.1,3.48285177824975,284.6486281376373,274.4465690432259,427.44665392940976,0.0293532571307712,509.57991,780.36124,5.56777,23.07657
2023-12-03 22:00:00,2024-07-17 00:00:00,3.1,3.180373595718657,282.4472804103848,274.5592136207867,321.32287193463105,0.0452466394289066,519.25079,820.07221,12.57731,23.17577
2023-12-03 23:00:00,2024-07-17 00:00:00,3.1,3.180373595718657,282.4472804103848,274.5592136207867,321.32287193463105,0.0452466394289066,581.80389,763.83199,6.69242,24.31572
2023-12-04 00:00:00,2024-07-17 00:00:00,3.1,3.180373595718657,282.4472804103848,274.5592136207867,321.32287193463105,0.0452466394289066,548.18508,759.21293,10.86464,20.72006
2023-12-04 01:00:00,2024-07-17 00:00:00,3.1,3.0126769259908857,280.6357684078902,274.11667368066844,3.31501921066166,0.0075437453303156,638.57787,703.97865,14.3399,20.64473
2023-12-04 02:00:00,2024-07-17 00:00:00,3.1,3.0126769259908857,280.6357684078902,274.11667368066844,3.31501921066166,0.0075437453303156,545.18567,536.00506,16.92899,20.80577
2023-12-04 03:00:00,2024-07-17 00:00:00,3.1,3.0126769259908857,280.6357684078902,274.11667368066844,3.31501921066166,0.0075437453303156,545.77574,605.5137,13.0525,20.14125
2023-12-04 04:00:00,2024-07-17 00:00:00,3.1,2.9740353227574747,279.9220208289336,273.8272080817378,1.6574996067434014,0.0123184062826684,600.95685,563.09271,9.88684,20.00589
2023-12-04 05:00:00,2024-07-17 00:00:00,3.1,2.9740353227574747,279.9220208289336,273.8272080817378,1.6574996067434014,0.0123184062826684,592.36518,607.97942,13.9971,19.30965
2023-12-04 06:00:00,2024-07-17 00:00:00,3.1,2.9740353227574747,279.9220208289336,273.8272080817378,1.6574996067434014,0.0123184062826684,513.22403,644.08996,17.49078,20.38306
2023-12-04 07:00:00,2024-07-17 00:00:00,3.1,2.9439358535502307,279.368311646371,273.5136866244084,0.0,0.0028821408031272,544.86266,426.2544,17.27242,20.98069
2023-12-04 08:00:00,2024-07-17 00:00:00,3.1,2.9439358535502307,279.368311646371,273.5136866244084,0.0,0.0028821408031272,523.39043,454.02435,15.45873,20.05101
2023-12-04 09:00:00,2024-07-17 00:00:00,3.1,2.9439358535502307,279.368311646371,273.5136866244084,0.0,0.0028821408031272,489.1451,814.69304,15.78847,19.25393
2023-12-04 10:00:00,2024-07-17 00:00:00,3.1,2.847340050577416,278.9566820680153,273.28062368074643,0.0,0.0069247876518837,509.14007,404.9786,11.85109,18.92115
2023-12-04 11:00:00,2024-07-17 00:00:00,3.1,2.847340050577416,278.9566820680153,273.28062368074643,0.0,0.0069247876518837,534.75257,360.75907,9.67658,19.92096
2023-12-04 12:00:00,2024-07-17 00:00:00,3.1,2.847340050577416,278.9566820680153,273.28062368074643,0.0,0.0069247876518837,455.69256,326.57604,12.66191,19.78016
2023-12-04 13:00:00,2024-07-17 00:00:00,3.1,2.732193988051032,279.2741264748671,273.29725267336704,4.381492004796725,0.013861540537014,469.35713,367.53766,11.68994,19.99176
2023-12-04 14:00:00,2024-07-17 00:00:00,3.1,2.732193988051032,279.2741264748671,273.29725267336704,4.381492004796725,0.013861540537014,453.74536,409.08859,14.11847,20.53991
2023-12-04 15:00:00,2024-07-17 00:00:00,3.1,2.732193988051032,279.2741264748671,273.29725267336704,4.381492004796725,0.013861540537014,450.87557,489.10565,9.85539,22.10318
2023-12-04 16:00:00,2024-07-17 00:00:00,3.1,2.563611262599277,284.05994750138257,274.20313100315303,126.67785902483728,0.03492201872593,474.88754,464.05795,9.71037,22.85215
2023-12-04 17:00:00,2024-07-17 00:00:00,3.1,2.563611262599277,284.05994750138257,274.20313100315303,126.67785902483728,0.03492201872593,475.5826,587.51446,7.66607,22.41256
