Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
40536,2023-08-17 00:00:00,2024-07-17 00:00:00,3.1,211.16,915.0,1211.0,145.0,22.0
40537,2023-08-17 01:00:00,2024-07-17 00:00:00,3.1,206.95,913.0,1309.0,100.0,14.0
40538,2023-08-17 02:00:00,2024-07-17 00:00:00,3.1,191.87,910.0,1498.0,114.0,17.0
40539,2023-08-17 03:00:00,2024-07-17 00:00:00,3.1,191.28,880.0,1482.0,90.0,10.0
40540,2023-08-17 04:00:00,2024-07-17 00:00:00,3.1,195.79,804.0,1308.0,70.0,7.0
40541,2023-08-17 05:00:00,2024-07-17 00:00:00,3.1,216.98,734.0,1017.0,24.0,0.0
40542,2023-08-17 06:00:00,2024-07-17 00:00:00,3.1,263.5,775.0,732.0,1.0,0.0
40543,2023-08-17 07:00:00,2024-07-17 00:00:00,3.1,262.03,766.0,730.0,4.0,0.0
40544,2023-08-17 08:00:00,2024-07-17 00:00:00,3.1,285.8,759.0,592.0,0.0,0.0
40545,2023-08-17 09:00:00,2024-07-17 00:00:00,3.1,353.83,758.0,312.0,1.0,0.0
40546,2023-08-17 10:00:00,2024-07-17 00:00:00,3.1,383.15,733.0,216.0,0.0,2.0
40547,2023-08-17 11:00:00,2024-07-17 00:00:00,3.1,376.51,715.0,225.0,0.0,5.0
40548,2023-08-17 12:00:00,2024-07-17 00:00:00,3.1,335.23,738.0,367.0,0.0,0.0
40549,2023-08-17 13:00:00,2024-07-17 00:00:00,3.1,308.81,762.0,482.0,3.0,0.0
40550,2023-08-17 14:00:00,2024-07-17 00:00:00,3.1,276.44,743.0,611.0,18.0,1.0
40551,2023-08-17 15:00:00,2024-07-17 00:00:00,3.1,326.12,715.0,329.0,61.0,2.0
40552,2023-08-17 16:00:00,2024-07-17 00:00:00,3.1,364.52,725.0,207.0,63.0,1.0
40553,2023-08-17 17:00:00,2024-07-17 00:00:00,3.1,355.51,773.0,239.0,73.0,6.0
40554,2023-08-17 18:00:00,2024-07-17 00:00:00,3.1,329.55,816.0,354.0,80.0,0.0
40555,2023-08-17 19:00:00,2024-07-17 00:00:00,3.1,294.33,834.0,493.0,120.0,0.0
40556,2023-08-17 20:00:00,2024-07-17 00:00:00,3.1,293.41,866.0,478.0,151.0,14.0
40557,2023-08-17 21:00:00,2024-07-17 00:00:00,3.1,271.92,860.0,568.0,168.0,33.0
40558,2023-08-17 22:00:00,2024-07-17 00:00:00,3.1,262.38,880.0,617.0,172.0,63.0
40559,2023-08-17 23:00:00,2024-07-17 00:00:00,3.1,276.11,882.0,644.0,53.0,53.0
