Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
37920,2023-04-30 00:00:00,2024-07-17 00:00:00,3.1,147.09,485.0,537.0,191.0,7.0
37921,2023-04-30 01:00:00,2024-07-17 00:00:00,3.1,125.07,503.0,839.0,144.0,2.0
37922,2023-04-30 02:00:00,2024-07-17 00:00:00,3.1,112.21,521.0,1116.0,81.0,0.0
37923,2023-04-30 03:00:00,2024-07-17 00:00:00,3.1,105.38,501.0,1165.0,89.0,4.0
37924,2023-04-30 04:00:00,2024-07-17 00:00:00,3.1,105.74,499.0,1137.0,90.0,20.0
37925,2023-04-30 05:00:00,2024-07-17 00:00:00,3.1,109.71,510.0,1082.0,84.0,44.0
37926,2023-04-30 06:00:00,2024-07-17 00:00:00,3.1,111.35,505.0,1079.0,3.0,91.0
37927,2023-04-30 07:00:00,2024-07-17 00:00:00,3.1,145.97,475.0,624.0,0.0,105.0
37928,2023-04-30 08:00:00,2024-07-17 00:00:00,3.1,143.65,436.0,623.0,0.0,64.0
37929,2023-04-30 09:00:00,2024-07-17 00:00:00,3.1,158.14,418.0,490.0,0.0,70.0
37930,2023-04-30 10:00:00,2024-07-17 00:00:00,3.1,144.7,404.0,562.0,0.0,67.0
37931,2023-04-30 11:00:00,2024-07-17 00:00:00,3.1,135.91,407.0,643.0,0.0,58.0
37932,2023-04-30 12:00:00,2024-07-17 00:00:00,3.1,132.44,412.0,684.0,0.0,55.0
37933,2023-04-30 13:00:00,2024-07-17 00:00:00,3.1,140.27,428.0,660.0,0.0,41.0
37934,2023-04-30 14:00:00,2024-07-17 00:00:00,3.1,153.05,412.0,513.0,38.0,33.0
37935,2023-04-30 15:00:00,2024-07-17 00:00:00,3.1,153.53,400.0,437.0,111.0,16.0
37936,2023-04-30 16:00:00,2024-07-17 00:00:00,3.1,160.14,393.0,312.0,201.0,2.0
37937,2023-04-30 17:00:00,2024-07-17 00:00:00,3.1,183.44,411.0,215.0,203.0,0.0
37938,2023-04-30 18:00:00,2024-07-17 00:00:00,3.1,178.71,412.0,239.0,201.0,1.0
37939,2023-04-30 19:00:00,2024-07-17 00:00:00,3.1,183.23,414.0,257.0,158.0,7.0
37940,2023-04-30 20:00:00,2024-07-17 00:00:00,3.1,164.76,411.0,269.0,118.0,125.0
37941,2023-04-30 21:00:00,2024-07-17 00:00:00,3.1,146.12,419.0,309.0,115.0,218.0
37942,2023-04-30 22:00:00,2024-07-17 00:00:00,3.1,146.02,412.0,348.0,106.0,178.0
37943,2023-04-30 23:00:00,2024-07-17 00:00:00,3.1,134.72,414.0,382.0,148.0,193.0
