Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
35928,2023-02-06 00:00:00,2024-07-17 00:00:00,3.1,144.5,293.0,330.0,171.0,333.0
35929,2023-02-06 01:00:00,2024-07-17 00:00:00,3.1,145.72,313.0,469.0,59.0,332.0
35930,2023-02-06 02:00:00,2024-07-17 00:00:00,3.1,123.65,341.0,856.0,47.0,319.0
35931,2023-02-06 03:00:00,2024-07-17 00:00:00,3.1,129.6,357.0,928.0,47.0,225.0
35932,2023-02-06 04:00:00,2024-07-17 00:00:00,3.1,147.37,356.0,903.0,46.0,43.0
35933,2023-02-06 05:00:00,2024-07-17 00:00:00,3.1,154.12,353.0,626.0,45.0,225.0
35934,2023-02-06 06:00:00,2024-07-17 00:00:00,3.1,180.81,367.0,574.0,44.0,103.0
35935,2023-02-06 07:00:00,2024-07-17 00:00:00,3.1,208.07,387.0,531.0,2.0,56.0
35936,2023-02-06 08:00:00,2024-07-17 00:00:00,3.1,251.15,351.0,349.0,0.0,19.0
35937,2023-02-06 09:00:00,2024-07-17 00:00:00,3.1,278.59,342.0,284.0,0.0,0.0
35938,2023-02-06 10:00:00,2024-07-17 00:00:00,3.1,280.95,343.0,278.0,0.0,1.0
35939,2023-02-06 11:00:00,2024-07-17 00:00:00,3.1,252.0,346.0,284.0,0.0,73.0
35940,2023-02-06 12:00:00,2024-07-17 00:00:00,3.1,257.45,374.0,286.0,0.0,82.0
35941,2023-02-06 13:00:00,2024-07-17 00:00:00,3.1,250.51,386.0,314.0,0.0,89.0
35942,2023-02-06 14:00:00,2024-07-17 00:00:00,3.1,282.22,516.0,361.0,3.0,49.0
35943,2023-02-06 15:00:00,2024-07-17 00:00:00,3.1,266.3,582.0,473.0,7.0,55.0
35944,2023-02-06 16:00:00,2024-07-17 00:00:00,3.1,256.82,534.0,392.0,92.0,56.0
35945,2023-02-06 17:00:00,2024-07-17 00:00:00,3.1,270.83,478.0,98.0,198.0,138.0
35946,2023-02-06 18:00:00,2024-07-17 00:00:00,3.1,255.2,482.0,111.0,213.0,175.0
35947,2023-02-06 19:00:00,2024-07-17 00:00:00,3.1,245.76,487.0,130.0,208.0,206.0
35948,2023-02-06 20:00:00,2024-07-17 00:00:00,3.1,259.57,487.0,132.0,107.0,234.0
35949,2023-02-06 21:00:00,2024-07-17 00:00:00,3.1,257.9,491.0,131.0,91.0,259.0
35950,2023-02-06 22:00:00,2024-07-17 00:00:00,3.1,254.52,491.0,133.0,94.0,268.0
35951,2023-02-06 23:00:00,2024-07-17 00:00:00,3.1,243.11,500.0,136.0,106.0,313.0
