UTC time,nat_gas,hydro,solar,wind
2023-09-23 00:00:00,808.0,380.0,109.0,101.0
2023-09-23 01:00:00,806.0,758.0,60.0,156.0
2023-09-23 02:00:00,804.0,977.0,87.0,214.0
2023-09-23 03:00:00,807.0,985.0,27.0,237.0
2023-09-23 04:00:00,768.0,797.0,0.0,285.0
2023-09-23 05:00:00,764.0,540.0,0.0,207.0
2023-09-23 06:00:00,693.0,513.0,0.0,167.0
2023-09-23 07:00:00,606.0,351.0,9.0,108.0
2023-09-23 08:00:00,507.0,192.0,1.0,141.0
2023-09-23 09:00:00,488.0,123.0,0.0,187.0
2023-09-23 10:00:00,488.0,100.0,0.0,90.0
2023-09-23 11:00:00,487.0,195.0,0.0,36.0
2023-09-23 12:00:00,489.0,223.0,0.0,12.0
2023-09-23 13:00:00,490.0,249.0,0.0,14.0
2023-09-23 14:00:00,535.0,372.0,0.0,1.0
2023-09-23 15:00:00,524.0,195.0,26.0,9.0
2023-09-23 16:00:00,471.0,141.0,17.0,2.0
2023-09-23 17:00:00,415.0,134.0,25.0,0.0
2023-09-23 18:00:00,378.0,169.0,38.0,1.0
2023-09-23 19:00:00,382.0,201.0,23.0,23.0
2023-09-23 20:00:00,496.0,216.0,17.0,109.0
2023-09-23 21:00:00,593.0,208.0,29.0,87.0
2023-09-23 22:00:00,602.0,223.0,42.0,68.0
2023-09-23 23:00:00,610.0,251.0,44.0,28.0
