UTC time,nat_gas,hydro,solar,wind
2023-07-27 00:00:00,885.0,606.0,64.0,273.0
2023-07-27 01:00:00,887.0,794.0,128.0,251.0
2023-07-27 02:00:00,886.0,841.0,117.0,250.0
2023-07-27 03:00:00,908.0,918.0,91.0,242.0
2023-07-27 04:00:00,887.0,983.0,82.0,189.0
2023-07-27 05:00:00,879.0,618.0,88.0,110.0
2023-07-27 06:00:00,841.0,702.0,2.0,106.0
2023-07-27 07:00:00,702.0,771.0,0.0,111.0
2023-07-27 08:00:00,586.0,602.0,0.0,47.0
2023-07-27 09:00:00,513.0,407.0,0.0,69.0
2023-07-27 10:00:00,481.0,100.0,0.0,177.0
2023-07-27 11:00:00,499.0,82.0,0.0,141.0
2023-07-27 12:00:00,502.0,250.0,0.0,168.0
2023-07-27 13:00:00,531.0,369.0,0.0,267.0
2023-07-27 14:00:00,477.0,370.0,7.0,265.0
2023-07-27 15:00:00,423.0,242.0,69.0,226.0
2023-07-27 16:00:00,437.0,151.0,99.0,191.0
2023-07-27 17:00:00,463.0,181.0,117.0,298.0
2023-07-27 18:00:00,575.0,345.0,121.0,309.0
2023-07-27 19:00:00,688.0,455.0,192.0,306.0
2023-07-27 20:00:00,810.0,551.0,202.0,297.0
2023-07-27 21:00:00,869.0,617.0,122.0,244.0
2023-07-27 22:00:00,882.0,660.0,105.0,249.0
2023-07-27 23:00:00,873.0,860.0,155.0,236.0
