Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind
39744,2023-07-15 00:00:00,2024-07-17 00:00:00,3.1,191.11,813.0,581.0,173.0,7.0
39745,2023-07-15 01:00:00,2024-07-17 00:00:00,3.1,158.28,776.0,841.0,175.0,22.0
39746,2023-07-15 02:00:00,2024-07-17 00:00:00,3.1,149.52,826.0,1067.0,140.0,11.0
39747,2023-07-15 03:00:00,2024-07-17 00:00:00,3.1,143.54,824.0,1198.0,91.0,11.0
39748,2023-07-15 04:00:00,2024-07-17 00:00:00,3.1,143.86,785.0,1205.0,28.0,1.0
39749,2023-07-15 05:00:00,2024-07-17 00:00:00,3.1,185.35,801.0,798.0,0.0,0.0
39750,2023-07-15 06:00:00,2024-07-17 00:00:00,3.1,180.2,826.0,865.0,0.0,5.0
39751,2023-07-15 07:00:00,2024-07-17 00:00:00,3.1,194.78,757.0,661.0,0.0,20.0
39752,2023-07-15 08:00:00,2024-07-17 00:00:00,3.1,181.79,623.0,619.0,0.0,26.0
39753,2023-07-15 09:00:00,2024-07-17 00:00:00,3.1,202.37,600.0,478.0,0.0,19.0
39754,2023-07-15 10:00:00,2024-07-17 00:00:00,3.1,220.79,583.0,392.0,0.0,2.0
39755,2023-07-15 11:00:00,2024-07-17 00:00:00,3.1,244.01,581.0,300.0,0.0,0.0
39756,2023-07-15 12:00:00,2024-07-17 00:00:00,3.1,243.56,574.0,294.0,0.0,4.0
39757,2023-07-15 13:00:00,2024-07-17 00:00:00,3.1,194.91,580.0,497.0,0.0,24.0
39758,2023-07-15 14:00:00,2024-07-17 00:00:00,3.1,225.05,531.0,314.0,10.0,18.0
39759,2023-07-15 15:00:00,2024-07-17 00:00:00,3.1,245.37,504.0,149.0,100.0,7.0
39760,2023-07-15 16:00:00,2024-07-17 00:00:00,3.1,214.63,507.0,235.0,115.0,17.0
39761,2023-07-15 17:00:00,2024-07-17 00:00:00,3.1,219.69,589.0,258.0,109.0,36.0
39762,2023-07-15 18:00:00,2024-07-17 00:00:00,3.1,224.57,752.0,324.0,110.0,53.0
39763,2023-07-15 19:00:00,2024-07-17 00:00:00,3.1,225.92,795.0,317.0,144.0,46.0
39764,2023-07-15 20:00:00,2024-07-17 00:00:00,3.1,236.28,811.0,246.0,171.0,42.0
39765,2023-07-15 21:00:00,2024-07-17 00:00:00,3.1,226.19,810.0,290.0,180.0,45.0
39766,2023-07-15 22:00:00,2024-07-17 00:00:00,3.1,208.09,811.0,398.0,196.0,37.0
39767,2023-07-15 23:00:00,2024-07-17 00:00:00,3.1,191.26,810.0,584.0,149.0,24.0
