UTC time,nat_gas,hydro,solar,wind
2023-07-23 00:00:00,859.0,708.0,93.0,96.0
2023-07-23 01:00:00,864.0,819.0,85.0,235.0
2023-07-23 02:00:00,863.0,1239.0,60.0,217.0
2023-07-23 03:00:00,864.0,1109.0,89.0,226.0
2023-07-23 04:00:00,872.0,1069.0,89.0,246.0
2023-07-23 05:00:00,859.0,977.0,59.0,114.0
2023-07-23 06:00:00,795.0,657.0,8.0,119.0
2023-07-23 07:00:00,648.0,686.0,2.0,151.0
2023-07-23 08:00:00,613.0,647.0,0.0,153.0
2023-07-23 09:00:00,581.0,502.0,0.0,206.0
2023-07-23 10:00:00,569.0,309.0,0.0,235.0
2023-07-23 11:00:00,525.0,289.0,0.0,217.0
2023-07-23 12:00:00,514.0,284.0,0.0,147.0
2023-07-23 13:00:00,540.0,249.0,0.0,236.0
2023-07-23 14:00:00,539.0,324.0,41.0,221.0
2023-07-23 15:00:00,515.0,164.0,20.0,304.0
2023-07-23 16:00:00,536.0,255.0,29.0,285.0
2023-07-23 17:00:00,602.0,327.0,71.0,242.0
2023-07-23 18:00:00,597.0,379.0,87.0,127.0
2023-07-23 19:00:00,635.0,271.0,153.0,84.0
2023-07-23 20:00:00,746.0,482.0,166.0,157.0
2023-07-23 21:00:00,775.0,481.0,151.0,281.0
2023-07-23 22:00:00,819.0,555.0,131.0,298.0
2023-07-23 23:00:00,791.0,742.0,116.0,271.0
