UTC time,nat_gas,hydro,solar,wind
2023-05-16 00:00:00,563.0,569.0,180.0,3.0
2023-05-16 01:00:00,565.0,901.0,110.0,4.0
2023-05-16 02:00:00,589.0,1060.0,29.0,38.0
2023-05-16 03:00:00,676.0,1078.0,85.0,115.0
2023-05-16 04:00:00,657.0,1078.0,89.0,90.0
2023-05-16 05:00:00,644.0,1052.0,88.0,100.0
2023-05-16 06:00:00,670.0,975.0,23.0,168.0
2023-05-16 07:00:00,589.0,819.0,3.0,175.0
2023-05-16 08:00:00,550.0,901.0,0.0,116.0
2023-05-16 09:00:00,550.0,590.0,0.0,87.0
2023-05-16 10:00:00,532.0,593.0,1.0,26.0
2023-05-16 11:00:00,532.0,812.0,1.0,27.0
2023-05-16 12:00:00,531.0,822.0,2.0,45.0
2023-05-16 13:00:00,501.0,877.0,0.0,98.0
2023-05-16 14:00:00,348.0,889.0,22.0,62.0
2023-05-16 15:00:00,301.0,767.0,49.0,18.0
2023-05-16 16:00:00,263.0,452.0,24.0,3.0
2023-05-16 17:00:00,259.0,430.0,55.0,8.0
2023-05-16 18:00:00,259.0,446.0,135.0,1.0
2023-05-16 19:00:00,343.0,457.0,163.0,9.0
2023-05-16 20:00:00,504.0,463.0,107.0,13.0
2023-05-16 21:00:00,534.0,494.0,181.0,23.0
2023-05-16 22:00:00,534.0,552.0,103.0,70.0
2023-05-16 23:00:00,536.0,540.0,90.0,136.0
