UTC time,nat_gas,hydro,solar,wind
2023-02-26 00:00:00,607.0,334.0,54.0,311.0
2023-02-26 01:00:00,620.0,491.0,24.0,314.0
2023-02-26 02:00:00,649.0,797.0,0.0,295.0
2023-02-26 03:00:00,670.0,862.0,0.0,251.0
2023-02-26 04:00:00,642.0,862.0,0.0,246.0
2023-02-26 05:00:00,627.0,829.0,15.0,257.0
2023-02-26 06:00:00,623.0,528.0,0.0,203.0
2023-02-26 07:00:00,619.0,502.0,0.0,185.0
2023-02-26 08:00:00,562.0,435.0,0.0,81.0
2023-02-26 09:00:00,580.0,427.0,0.0,42.0
2023-02-26 10:00:00,573.0,393.0,0.0,108.0
2023-02-26 11:00:00,568.0,372.0,0.0,226.0
2023-02-26 12:00:00,571.0,355.0,0.0,202.0
2023-02-26 13:00:00,572.0,387.0,0.0,238.0
2023-02-26 14:00:00,588.0,505.0,0.0,209.0
2023-02-26 15:00:00,575.0,551.0,1.0,216.0
2023-02-26 16:00:00,552.0,487.0,91.0,223.0
2023-02-26 17:00:00,556.0,260.0,135.0,189.0
2023-02-26 18:00:00,564.0,182.0,172.0,134.0
2023-02-26 19:00:00,507.0,161.0,170.0,169.0
2023-02-26 20:00:00,480.0,144.0,125.0,143.0
2023-02-26 21:00:00,478.0,150.0,175.0,104.0
2023-02-26 22:00:00,461.0,174.0,95.0,121.0
2023-02-26 23:00:00,512.0,203.0,125.0,139.0
