UTC time,nat_gas,hydro,solar,wind
2023-09-05 00:00:00,554.0,454.0,185.0,15.0
2023-09-05 01:00:00,641.0,690.0,106.0,11.0
2023-09-05 02:00:00,728.0,914.0,60.0,7.0
2023-09-05 03:00:00,704.0,1160.0,89.0,4.0
2023-09-05 04:00:00,686.0,822.0,1.0,1.0
2023-09-05 05:00:00,651.0,797.0,4.0,0.0
2023-09-05 06:00:00,544.0,787.0,0.0,0.0
2023-09-05 07:00:00,431.0,687.0,0.0,0.0
2023-09-05 08:00:00,389.0,208.0,7.0,0.0
2023-09-05 09:00:00,388.0,145.0,0.0,0.0
2023-09-05 10:00:00,388.0,90.0,6.0,0.0
2023-09-05 11:00:00,388.0,105.0,1.0,0.0
2023-09-05 12:00:00,388.0,134.0,4.0,0.0
2023-09-05 13:00:00,390.0,293.0,87.0,0.0
2023-09-05 14:00:00,408.0,369.0,58.0,0.0
2023-09-05 15:00:00,387.0,127.0,75.0,0.0
2023-09-05 16:00:00,389.0,96.0,170.0,0.0
2023-09-05 17:00:00,388.0,138.0,114.0,0.0
2023-09-05 18:00:00,397.0,152.0,119.0,0.0
2023-09-05 19:00:00,462.0,152.0,105.0,6.0
2023-09-05 20:00:00,562.0,192.0,170.0,42.0
2023-09-05 21:00:00,587.0,217.0,198.0,70.0
2023-09-05 22:00:00,625.0,214.0,201.0,65.0
2023-09-05 23:00:00,662.0,335.0,205.0,84.0
