UTC time,nat_gas,hydro,solar,wind
2023-04-15 00:00:00,486.0,356.0,197.0,9.0
2023-04-15 01:00:00,466.0,511.0,132.0,3.0
2023-04-15 02:00:00,509.0,861.0,67.0,0.0
2023-04-15 03:00:00,510.0,936.0,89.0,13.0
2023-04-15 04:00:00,509.0,950.0,88.0,16.0
2023-04-15 05:00:00,509.0,962.0,81.0,0.0
2023-04-15 06:00:00,488.0,923.0,2.0,1.0
2023-04-15 07:00:00,509.0,726.0,0.0,6.0
2023-04-15 08:00:00,507.0,532.0,1.0,9.0
2023-04-15 09:00:00,497.0,524.0,0.0,26.0
2023-04-15 10:00:00,500.0,508.0,0.0,27.0
2023-04-15 11:00:00,501.0,513.0,0.0,7.0
2023-04-15 12:00:00,506.0,543.0,0.0,1.0
2023-04-15 13:00:00,507.0,824.0,0.0,4.0
2023-04-15 14:00:00,509.0,831.0,23.0,2.0
2023-04-15 15:00:00,491.0,416.0,99.0,16.0
2023-04-15 16:00:00,406.0,332.0,195.0,35.0
2023-04-15 17:00:00,387.0,288.0,132.0,46.0
2023-04-15 18:00:00,386.0,279.0,140.0,45.0
2023-04-15 19:00:00,387.0,262.0,132.0,38.0
2023-04-15 20:00:00,393.0,265.0,121.0,27.0
2023-04-15 21:00:00,398.0,266.0,128.0,14.0
2023-04-15 22:00:00,419.0,276.0,131.0,6.0
2023-04-15 23:00:00,404.0,360.0,131.0,2.0
