UTC time,nat_gas,hydro,solar,wind
2023-11-23 00:00:00,572.0,231.0,73.0,19.0
2023-11-23 01:00:00,632.0,839.0,35.0,14.0
2023-11-23 02:00:00,658.0,827.0,36.0,14.0
2023-11-23 03:00:00,629.0,727.0,86.0,12.0
2023-11-23 04:00:00,634.0,609.0,35.0,1.0
2023-11-23 05:00:00,637.0,506.0,54.0,0.0
2023-11-23 06:00:00,642.0,460.0,0.0,2.0
2023-11-23 07:00:00,649.0,287.0,0.0,0.0
2023-11-23 08:00:00,677.0,123.0,1.0,0.0
2023-11-23 09:00:00,691.0,255.0,0.0,4.0
2023-11-23 10:00:00,688.0,240.0,0.0,3.0
2023-11-23 11:00:00,688.0,107.0,0.0,0.0
2023-11-23 12:00:00,679.0,147.0,0.0,0.0
2023-11-23 13:00:00,709.0,173.0,0.0,0.0
2023-11-23 14:00:00,716.0,251.0,0.0,0.0
2023-11-23 15:00:00,722.0,368.0,3.0,0.0
2023-11-23 16:00:00,706.0,52.0,40.0,0.0
2023-11-23 17:00:00,692.0,162.0,57.0,0.0
2023-11-23 18:00:00,616.0,134.0,16.0,0.0
2023-11-23 19:00:00,599.0,132.0,42.0,6.0
2023-11-23 20:00:00,596.0,140.0,50.0,17.0
2023-11-23 21:00:00,545.0,132.0,50.0,18.0
2023-11-23 22:00:00,511.0,149.0,48.0,151.0
2023-11-23 23:00:00,523.0,126.0,51.0,132.0
