UTC time,solar,nat_gas,other,oil,hydro,coal
2019-01-01 00:00:00,0.0,4145.0,129.0,0.0,7.0,0.0
2019-01-01 01:00:00,0.0,3873.0,131.0,0.0,8.0,0.0
2019-01-01 02:00:00,0.0,3679.0,128.0,0.0,7.0,0.0
2019-01-01 03:00:00,0.0,3631.0,130.0,0.0,7.0,0.0
2019-01-01 04:00:00,0.0,3577.0,111.0,0.0,8.0,0.0
2019-01-01 05:00:00,0.0,3413.0,112.0,0.0,7.0,0.0
2019-01-01 06:00:00,0.0,3150.0,107.0,0.0,8.0,0.0
2019-01-01 07:00:00,0.0,2952.0,109.0,0.0,6.0,0.0
2019-01-01 08:00:00,0.0,2714.0,108.0,0.0,7.0,0.0
2019-01-01 09:00:00,0.0,2552.0,109.0,0.0,7.0,0.0
2019-01-01 10:00:00,0.0,2489.0,111.0,0.0,6.0,0.0
2019-01-01 11:00:00,0.0,2488.0,110.0,0.0,7.0,0.0
2019-01-01 12:00:00,0.0,2545.0,111.0,0.0,6.0,0.0
2019-01-01 13:00:00,0.0,2620.0,115.0,0.0,5.0,0.0
2019-01-01 14:00:00,0.0,2917.0,105.0,0.0,6.0,0.0
2019-01-01 15:00:00,2.0,3112.0,95.0,0.0,6.0,0.0
2019-01-01 16:00:00,2.0,3373.0,98.0,0.0,6.0,0.0
2019-01-01 17:00:00,2.0,3699.0,95.0,0.0,6.0,0.0
2019-01-01 18:00:00,3.0,3943.0,93.0,0.0,6.0,0.0
2019-01-01 19:00:00,3.0,4217.0,95.0,0.0,5.0,0.0
2019-01-01 20:00:00,3.0,4341.0,94.0,0.0,6.0,0.0
2019-01-01 21:00:00,2.0,4364.0,94.0,0.0,6.0,0.0
2019-01-01 22:00:00,1.0,4286.0,105.0,0.0,6.0,0.0
2019-01-01 23:00:00,0.0,4133.0,124.0,0.0,6.0,0.0
2019-01-02 00:00:00,0.0,4196.0,128.0,0.0,6.0,0.0
2019-01-02 01:00:00,0.0,3976.0,128.0,0.0,5.0,0.0
2019-01-02 02:00:00,0.0,3851.0,131.0,0.0,6.0,0.0
2019-01-02 03:00:00,0.0,3802.0,128.0,0.0,6.0,0.0
2019-01-02 04:00:00,0.0,3450.0,115.0,0.0,6.0,0.0
2019-01-02 05:00:00,0.0,3063.0,112.0,0.0,5.0,0.0
2019-01-02 06:00:00,0.0,2812.0,111.0,0.0,6.0,0.0
2019-01-02 07:00:00,0.0,2586.0,113.0,0.0,6.0,0.0
2019-01-02 08:00:00,0.0,2442.0,114.0,0.0,5.0,0.0
2019-01-02 09:00:00,0.0,2377.0,116.0,0.0,6.0,0.0
2019-01-02 10:00:00,0.0,2423.0,122.0,0.0,5.0,0.0
2019-01-02 11:00:00,0.0,2614.0,122.0,0.0,6.0,0.0
2019-01-02 12:00:00,0.0,2955.0,120.0,0.0,6.0,0.0
2019-01-02 13:00:00,0.0,3185.0,124.0,0.0,5.0,0.0
2019-01-02 14:00:00,0.0,3432.0,266.0,0.0,5.0,0.0
2019-01-02 15:00:00,1.0,3408.0,135.0,0.0,6.0,0.0
2019-01-02 16:00:00,2.0,3464.0,137.0,0.0,5.0,0.0
2019-01-02 17:00:00,3.0,3741.0,135.0,0.0,6.0,0.0
2019-01-02 18:00:00,2.0,3958.0,136.0,0.0,5.0,0.0
2019-01-02 19:00:00,2.0,4104.0,137.0,0.0,6.0,0.0
2019-01-02 20:00:00,3.0,4234.0,138.0,0.0,5.0,0.0
2019-01-02 21:00:00,14.0,4325.0,139.0,0.0,5.0,0.0
2019-01-02 22:00:00,11.0,4347.0,138.0,17.0,6.0,0.0
2019-01-02 23:00:00,2.0,4300.0,138.0,0.0,6.0,0.0
2019-01-03 00:00:00,0.0,4411.0,138.0,0.0,6.0,0.0
2019-01-03 01:00:00,0.0,4165.0,140.0,0.0,6.0,0.0
2019-01-03 02:00:00,0.0,4047.0,140.0,0.0,7.0,0.0
2019-01-03 03:00:00,0.0,3955.0,131.0,0.0,6.0,0.0
2019-01-03 04:00:00,0.0,3584.0,123.0,0.0,7.0,0.0
2019-01-03 05:00:00,0.0,3183.0,120.0,0.0,6.0,0.0
2019-01-03 06:00:00,0.0,2911.0,117.0,0.0,7.0,0.0
2019-01-03 07:00:00,0.0,2663.0,117.0,0.0,7.0,0.0
2019-01-03 08:00:00,0.0,2512.0,118.0,0.0,8.0,0.0
2019-01-03 09:00:00,0.0,2446.0,117.0,0.0,7.0,0.0
2019-01-03 10:00:00,0.0,2465.0,121.0,0.0,8.0,0.0
2019-01-03 11:00:00,0.0,2644.0,120.0,0.0,7.0,0.0
2019-01-03 12:00:00,0.0,2971.0,119.0,0.0,8.0,0.0
2019-01-03 13:00:00,1.0,3254.0,109.0,0.0,8.0,0.0
2019-01-03 14:00:00,11.0,3442.0,108.0,0.0,7.0,0.0
2019-01-03 15:00:00,15.0,3538.0,106.0,0.0,8.0,0.0
2019-01-03 16:00:00,13.0,3656.0,110.0,0.0,6.0,0.0
2019-01-03 17:00:00,13.0,3887.0,109.0,0.0,3.0,0.0
2019-01-03 18:00:00,13.0,4069.0,108.0,0.0,3.0,0.0
2019-01-03 19:00:00,14.0,4173.0,110.0,0.0,3.0,0.0
2019-01-03 20:00:00,13.0,4284.0,107.0,0.0,3.0,0.0
2019-01-03 21:00:00,14.0,4369.0,105.0,0.0,3.0,0.0
